date,Check Date Range,channel,platform,campaign_type,campaign_id,campaign_name,ab_variant,geo,device,audience,placement,adset_id,creative_id,impressions,clicks,sessions,conversions,revenue_gbp,spend_gbp,clicks_greater_impressions,conv_greater_sessions,revenue_without_conversion,negative_values,activity_wtihout_spend,revenue_without_spend,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,OK,Display,DV360,Free Trial,C51468,Trial_CompetitorTerms,B,UK,All,CRM,Display_Network,AS008,CR004,286855,1028,1028,43,"£1,654.95",2010.52,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/11/2025,OK,Paid Search,Google Ads,Free Trial,C06687,Trial_CompetitorTerms,B,UK,All,CRM,Search,AS012,CR006,37431,1020,1006,86,3273.09,679.96,No,No,Valid,No,0,0,,Check for Null Values,,,,,,,,,,,,,,,,,,,,,,,,,
04/11/2025,OK,Affiliate,Partner Network,Free Trial,C00918,FreeTrial_NonBrand,A,IE,Mobile,CRM,Stories,AS006,CR007,2043,100,84,7,188.28,27.23,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,OK,Paid Social,LinkedIn Ads,Free Trial,C89894,Trial_Reengagement,B,ie,Mobile,CRM,Stories,AS005,CR009,25616,431,409,16,569.32,,No,No,Valid,No,1,1,,date,Check Date Range,channel,platform,campaign_type,campaign_id,campaign_name,ab_variant,geo,device,audience,placement,adset_id,creative_id,impressions,clicks,sessions,conversions,revenue_gbp,spend_gbp,clicks_greater_impressions,conv_greater_sessions,revenue_without_conversion,negative_values,activity_wtihout_spend,revenue_without_spend
27/11/2025,OK,Paid Social,Meta Ads,Discount Offer,C77790,Discount_20pct,a,UK,All,Retargeting,Stories,AS006,CR004,82394,698,589,29,1650.35,498.73,No,No,Valid,No,0,0,,0,0,0,210,0,0,0,0,0,297,0,0,0,0,0,0,0,0,452,431,0,0,0,0,0,0
08/11/2025,OK,Paid Social,LinkedIn Ads,Discount Offer,C51603,Discount_Flash48h,B,UK,All,Prospecting,Stories,AS013,CR009,101969,1020,1020,78,7134.7,734.58,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/11/2025,OK,Paid Search,Google Ads,Discount Offer,C55219,Discount_BundleDeal,B,UK,All,Retargeting,Search,AS015,CR003,136448,4194,3523,716,47431.71,"7,459.56",No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/11/2025,OK,Display,DV360,Free Trial,C07273,FreeTrial_NonBrand,A,IE,Mobile,Retargeting,Display_Network,AS010,CR002,20303,69,56,1,36.92,108.8,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/2025,OK,Paid Social,Meta Ads,Discount Offer,C47476,Discount_Flash48h,B,IE,All,Prospecting,Feed,AS006,CR007,15365,155,125,12,£387.14,152.05,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/11/2025,OK,Paid Social,LinkedIn Ads,Discount Offer,C65769,Discount_BundleDeal,B,IE,All,Retargeting,Feed,AS001,CR001,44070,640,563,54,2781.6,413.55,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/11/2025,OK,Paid Search,Google Ads,Discount Offer,C94025,Discount_Flash48h,A,UK,Desktop,CRM,Search,AS008,CR001,31176,1405,1405,115,0,1741.16,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/11/2025,OK,Display,DV360,Discount Offer,C89562,Discount_BundleDeal,B,IE,Desktop,Prospecting,Display_Network,AS015,CR002,46305,170,164,9,365.42,250.9,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/11/2025,OK,Paid Social,Meta Ads,Discount Offer,C47476,Discount_Flash48h,B,IE,,Retargeting,Feed,AS011,CR001,14041,206,193,42,1624.82,119.99,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/11/2025,OK,Paid Social,LinkedIn Ads,Free Trial,C89894,Trial_Reengagement,Variant A,IE,All,Prospecting,Feed,AS004,CR008,34105,619,557,34,1278.88,342.79,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/2025,OK,Paid Social,LinkedIn Ads,Brand Awareness,C39095,Awareness_Display_UK, A ,IE,All,CRM,Feed,AS009,CR004,11936,179,141,3,74.72,84.84,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/11/2025,OK,Paid Social,LinkedIn Ads,Discount Offer,C53161,Discount_20pct,A,UK,All,Prospecting,Feed,AS007,CR007,233443,2308,1805,52,2579.24,1432.55,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2025,OK,Paid Social,LinkedIn Ads,Free Trial,C12655,Trial_CompetitorTerms,A,IE,Mobile,Retargeting,Feed,AS001,CR004,22743,492,336,7,272.65,403.64,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/11/2025,OK,Affiliate,Partner Network,Free Trial,C45462,Trial_Reengagement,A,IE,Desktop,Prospecting,Feed,AS009,CR003,1160,134,127,6,118.4,107.36,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2025,OK,Paid Social,Meta Ads,Free Trial,C43606,Trial_CompetitorTerms,A,UK,All,Prospecting,Feed,AS003,CR001,275263,3705,3705,55,2438.23,1627.84,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/11/2025,OK,Affiliate,Partner Network,Discount Offer,C96105,Discount_20pct,A,UK,Mobile,CRM,Feed,AS008,CR009,14855,754,647,37,2846.2,904.84,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/11/2025,OK,Paid Social,TikTok Ads,Brand Awareness,C25480,Awareness_Display_UK,A,IE,All,CRM,Stories,AS007,CR006,29926,358,261,4,206.03,311.88,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/11/2025,OK,Paid Social,Meta Ads,Discount Offer,C54896,Discount_BundleDeal,A,IE,Desktop,CRM,Stories,AS010,CR003,28672,386,302,38,2033.96,336.1,No,No,Valid,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
